jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
844923.52	-2399-03-22	-2399	1	R1-vasanta	True	359.27	N03-Kri/η Tau	178.69	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	178.69	-0.73	915.82	43.69	0	
845839.34	-2397-09-23	-2397	4	R4-śarat	True	179.97	N17-Anu/δ Sco	359.82	N03-Kri/* 27 Tau	1	179	N17-Anu	N03-Kri	False	-0.18	179.97	6023.69	-0.18	0	
851863.03	-2380-03-21	-2380	1	R1-vasanta	True	359.20	N03-Kri/* 23 Tau	179.45	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	179.45	-0.80	915.79	44.45	0	
852778.82	-2378-09-23	-2378	4	R4-śarat	True	179.84	N17-Anu/δ Sco	0.86	N04-Roh/γ Tau	1	-178	N17-Anu	N04-Roh	False	0.86	179.84	2007.79	0.86	0	
854786.61	-2372-03-23	-2372	1	R1-vasanta	True	0.77	N04-Roh/γ Tau	180.08	N17-Anu/δ Sco	1	179	N04-Roh	N17-Anu	False	180.08	0.77	4016.17	45.08	0	
858802.78	-2361-03-22	-2361	1	R1-vasanta	True	359.34	N03-Kri/* 20 Tau	179.18	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	179.18	-0.66	915.31	44.18	0	
859718.09	-2359-09-22	-2359	4	R4-śarat	True	179.49	N17-Anu/δ Sco	359.79	N03-Kri/η Tau	1	-179	N17-Anu	N03-Kri	False	-0.21	179.49	2008.13	-0.21	0	
861726.22	-2353-03-23	-2353	1	R1-vasanta	True	0.78	N03-Kri/* 27 Tau	180.80	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	180.80	0.78	4016.53	45.80	0	
865742.75	-2342-03-22	-2342	1	R1-vasanta	True	359.71	N03-Kri/* 23 Tau	179.16	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	179.16	-0.29	914.92	44.16	0	
866657.67	-2340-09-22	-2340	4	R4-śarat	True	179.46	N17-Anu/δ Sco	359.31	N03-Kri/* 17 Tau	1	-180	N17-Anu	N03-Kri	False	-0.69	179.46	6025.11	-0.69	0	
872682.78	-2323-03-22	-2323	1	R1-vasanta	True	0.12	N03-Kri/η Tau	179.93	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	179.93	0.12	914.84	44.93	0	
873597.62	-2321-09-23	-2321	4	R4-śarat	True	179.80	N17-Anu/δ Sco	0.13	N03-Kri/η Tau	1	-179	N17-Anu	N03-Kri	False	0.13	179.80	6024.93	0.13	0	
879622.55	-2304-03-22	-2304	1	R1-vasanta	True	0.29	N03-Kri/* 23 Tau	179.94	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	179.94	0.29	915.10	44.94	0	
880537.65	-2302-09-23	-2302	4	R4-śarat	True	180.23	N17-Anu/δ Sco	0.55	N03-Kri/η Tau	1	180	N17-Anu	N03-Kri	False	0.55	180.23	6024.41	0.55	0	
886562.06	-2285-03-23	-2285	1	R1-vasanta	True	0.22	N03-Kri/* 17 Tau	180.64	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	180.64	0.22	915.47	45.64	0	
887477.53	-2283-09-24	-2283	4	R4-śarat	True	180.49	N17-Anu/δ Sco	0.36	N03-Kri/* 19 Tau	1	179	N17-Anu	N03-Kri	False	0.36	180.49	6023.78	0.36	0	
